,review,score
0,"Era necesario mucho coraje para abordar acontecimientos tan recientes y traumáticos para un país como los atentados del 11 de Septiembre para los EE.UU. Sólo por eso Paul Greengrass se merecía un aplauso por llevar a cabo ""United 93"". Pero es que además nos ha regalado un peliculón de los que se hacen pocos.Si no sabes lo que sucedió el 11 de Septiembre de 2001 en los USA no sigas leyendo esta crítica porque contiene ciertos detalles reveladores. Si ya lo sabes, seguramente no necesitaría recordarte que el United 93 era el avión que dicho día, mientras New York sufría los ataques a las Torres Gemelas, se estrelló en Pennsylvania tras ser secuestrado por unos terrorristas.No es necesario decirlo pero el respeto por las víctimas y sus familias era, evidentemente, una condición indispensable para que a cualquiera le dejasen dirigir esta película. En ese sentido el guión y la dirección de Greengrass son ejemplares. Pero es que además no ha incurrido en los estereotipos en los que yo pensé que sí iba a incurrir respecto a la figura de los terroristas, que son aquí retratados con bastante objetividad. Lo que hicieron fue un crimen brutal y sin excusa posible y el hecho de que gente aparentemente normal pueda cometer semejante atrocidad resulta mucho más terrible que si los retratamos con cara de malos, cicatriz en el rostro y antipáticos.Con el fin de hacernos mucho más real y creíble la historia, el estilo de la película recuerda deliberadamente al cine documental. Ayuda también a meterse en la película la utilización de actores casi desconocidos, llegando de hecho a utilizar auténticos controladores de vuelo para algunas escenas. Pese a ello no podemos olvidar que se trata de una cinta de ficción y su fidelidad a los hechos no debería ser lo que decidiese nuestra opinión sobre ella. Y más aún teniendo en cuenta que posiblemente nunca sepamos con exactitud lo que sucedió aquel día.La película está dividida en dos partes bien diferenciadas. En la primera asistimos a la gestación de la tragedia: los terroristas comenzando el viaje hasta el aeropuerto, los preparativos de la tripulación del avión, la torre de control, los centros de vigilancia aerea? En definitiva todos aquellos que jugaron un papel activo o pasivo en el fatídico día. La segunda parte se centra ya definitivamente en lo que sucedió en el interior del vuelo 93: el secuestro del avión y el convencimiento progresivo de los pasajeros de que la única salida posible era luchar contra los terroristas.¿Estilo de documental? ¿Actores casi desconocidos? ¿Dos partes bien diferenciadas? ¿Escenas con auténticos controladores aéreos? Contado así quizás a muchos no os suene muy atractivo pero? el ritmo es tan frenético, tan vivo, que no hay lugar para el aburrimiento. Desde el comienzo el espectador asiste enganchado a los acontecimientos. Más aún. Pese a conocer de antemano el desenlace de la historia, tiene incluso la esperanza de que suceda algo que la evite (sensación ésta que sólo las grandes películas saben transmitir).Pero si una palabra define a la perfección mi experiencia viendo la película, esa palabra es angustia. Hacía mucho tiempo que no me metía tan dentro de una película y pasaba momentos tan angustiosos en su interior. Paul Greengrass ha conseguido crear una joya del cine partiendo de una tragedia humana y nos ha regalado noventa minutos maravillosos y angustiosos a la vez que se ven culminados por un cuarto de hora final en el que es imposible contener la emoción.Mi única duda sobre la puntuación de esta película es ver cómo la trata el paso del tiempo y de generaciones venideras a las que la tragedia narrada les resulte lejana. Será dentro de unos años cuando se pueda decidir con mayor objetividad si ""United 93and#8243; es o no una obra maestra. De lo que no tengo ninguna duda es de que estamos ante una de las mejores películas del año. ",buena
1,"Esperaba con curiosidad y ciertas ganas el estreno de la nueva película de Antonio Banderas como director. Su debut, ""Crazy in Alabama"" me parece una buena película, interesante y muy bien dirigida así que la intención de Banderas de contarnos una historia sobre la Málaga de su infancia hacía presagiar una emotiva película.No es que esperase una obra maestra pero sí una buena película. Tras los primeros comentarios, en general no muy positivos, rebajé un poco mis expectativas. Pero lo que no me esperaba bajo ningún concepto es un ladrillo de este calibre, un tostón, un auténtico espanto como el que me encontré. Podría hablar durante horas de lo mala que es la película pero intentaré ser breve y conciso, algo que la película no es.Ante todo si alguien comete la imprudencia de ir al cine a verla, es mejor que esté avisado de que en los primeros 20 minutos no sucede absolutamente nada. Nada. Imágenes presuntamente poéticas, una tras otra y poco más. Pero cuando comienzan a pasar cosas y la historia arranca, aún es peor porque cada situación es más ridícula que la anterior.Los personajes están muy mal definidos, no tienen ningún sentido, y es realmente difícil sentirse mínimamente identificado por ese montón de tarados cuyo comportamiento no está en absoluto justificado ni explicado. Eso sí, todos se la dan de filósofos que parece que ahora está de moda.Ni qué decir tiene que los actores no pueden hacer nada con estos personajes así que me quedo con la duda de saber si son buenos o no. Lo que sí me queda claro es que la dicción sigue siendo una de las cuentas pendientes del cine español.La película es tal despropósito argumental que me vino a la cabeza ""Mulholland Drive"" pero con la diferencia de que, incluso cuando no tiene sentido, el cine de Lynch tiene magnetismo, atmósfera, engancha y no aburre. Banderas no consigue lo mismo y ni siquiera estoy seguro de que lo haya intentado. De hecho no tengo claro qué es lo que ha intentado.Lo peor, en mi opinión, de la película no es ya su guión o sus actuaciones o su lentitud o su dirección. Lo peor de todo es su pretenciosidad, su intención de ir de profunda y artística. He llegado a plantearme el poner puntuación negativa así que con eso lo digo todo. Pero como la banda sonora no está nada mal me he decidido a no hacerlo. ",mala
2,"Wes Craven, convertido en factoría, nos vuelve a contar una prescindible historia con reiterativos elementos en los ya clásicos títulos de terror con y para jóvenes.Reincide en la idea de que los muertos están entre nosotros, más de lo que algunos creen, y son sin cabe más espabilados en cuanto al uso de las nuevas tecnologías se refiere. Estos seres de ultratumba ya se saben los trucos y nosotros, como espectadores, también, aunque a veces, y ese es el milagro del cine en pantalla grande, no hace falta que nos creamos lo que nos relatan para pasar un rato encogidos en la butaca y, he de reconocerlo, entretenidos. Esa es la única virtud de un título que repite los mismos patrones de la mayor parte de películas de terror venidas de Estados Unidos: atmósfera de misterio, chicas guapas que mueren más tarde que sus compañeros -más feos que ellas-, correrías y poco más.Si la tomamos como algo original ?y créanme que es difícil-, su planteamiento engancha y su concepción hasta cierto punto sorprende al ir de la típica sucesión de muertes hasta la panorámica de un presente apocalíptico. La crítica a nuestro estilo de vida contemporáneo no es sutil, sino todo lo contrario, aunque ya sabemos que los excesos no conducen a nada: el metraje se viste de un nerviosismo y una estética que acaba resultando cansina.Wes Craven, perdón, el realizador Jim Sonzero, no se moderniza sino que se ancla en fórmulas que dan buenos resultados. Al final todo queda en una nueva revisión de lo que han hecho otros -y muchos de ellos, mejor-. El cocinillas del terror adapta la acción que transcurre en la nipona Kairo, de 2001, y adereza el relato con los habituales jóvenes universitarios nacidos en el país de las oportunidades y los sustos típicos de sus producciones, ya sean en forma de sueños o a través de cibernéticas soluciones bastante catastrofistas. ",mala
3,"Va la gente y se rasga las vestiduras con 'Caótica Ana', la nueva película de Julio Medem, el poeta del cine español, el rey del palíndromo. Que si irreconocible, que si chabacano, que si inconexo, que si ausente de sentido. no sé a qué viene tanta sorpresa. A mí, 'Caótica Ana' me parece la evolución natural de su apuesta cinematográfica, que aunque tiene momentos que me han gustado ('La pelota vasca', algo de 'Tierra'; tengo pendiente 'Los amantes del Círculo Polar'), en su mayoría me parece ya merecedora de los mismos apítetos que se le dedican ahora tan alegremente. Me aburrí un poco con 'Tierra', me aburrí mucho con 'Lucía y el Sexo', pues ahora me aburro un montón con 'Caótica Ana'.Concebida inicialmente como homenaje a su hermana, pintora fallecida en accidente de automóvil, 'Caótica Ana' cuenta el viaje iniciático de Ana, una joven pintora que es llevada a la gran ciudad por una mecenas (¿¿??) y descubre el amor, el sexo y una cantidad ingente de vidas (y muertes) de mujeres jóvenes en lo más profundo de su psyche. Abrir las puertas a esas mujeres marcará su destino como Madre de los Hombres Buenos, capaz de desafiar a los poderosos señores de la Guerra.Ahí queda eso.Ya desde muy pronto, Medem comienza a usar simbolismos que hasta un servidor pilla a la primera: el halcón y la paloma, la caverna y la luz, el mar como útero, las puertas. todo con ese estilo entre naturalista y pedante que suele impregnar a los personajes del director. Después, la cosa empeora: el retrato de los jóvenes prodigios de la escuela hippiesca donde estudia Ana (más que aceptable Manuela Vellès) es frívolo y alejado de la realidad en extremo (¿Mecenas? ¿Aquí hay mecenas?). Aparecen los personajes secundarios, poco menos que estereotipos con patas: el jóven artista árabe torturado/súperdotado; la amigaza odiahombres (normalita Bebe); el performancer ""provocador""; los homosexuales en plena faena. da todo tanta grima que parece que la intención última del director es criticar ese mundillo superfluo en el que, supuestamente, participaba su difunta hermana. Menudo homenaje.Después viene el desarrollo de la trama sobrenatural: Ana descubre, accidentalmente y en presencia de una famosa hipnotizadora, una de sus anteriores ""vidas"", y deciden que lo mejor para ella es hipnotizarla para descubrir más. La tarea recae en un joven discípulo de dicha hipnotizadora, un americano que habla como el rubio de los Morancos. En plena labor hipnotizadora, Ana siente el impulso de romper con todo, y de repente (literalmente), se encuentra en un barco rumbo a Nueva York, donde culmina su búsqueda en una grotesca escena que esconde todo lo que, en realidad, le interesa contar a Medem: ""me cago en los USA"". Y dicen que Tarantino es vacío.Por supuesto, no faltan las referencias al 11-S (con metafórico plano de las torres gemelas destruidas incluido), ya que está ambientada en el 2001, ni a la guerra de Irak, ni al conflicto saharaui (culpa también de los States). Medem descubre sus cartas al final y confirma que tanto caos formal esconde una simpleza pueril en el discurso. Pero a esas alturas, la verdad es que la peripecia vital de Ana me importaba más bien poco.Técnicamente, Medem es capaz de mezclar imágenes potentes visualmente (los ""flashbacks"" de Ana, los cuadros) con el cutre-look del video digital de gama baja, algo que también ha hecho recientemente David Lynch. La diferencia entre ambos es que Lynch construye una atmósfera gracias a ese material, y Medem salta de formato en formato, sin más.Para poco más da esta 'Caótica Ana', uno de los resbalones más sonados del cine español reciente. Yo, por mi parte, espero que Medem sea capaz algún día de hacer una película para alguien más que para él mismo. Un 2. ",mala
4,"Director: Mariano Ozores.Duración: 77 minutos.Estreno: 10 de diciembre de 1959.Espectadores: 10.484 de seres humanos.Conversación en la mansión subterranea de la familia de Chinchan de las altas cumbres y los floridos valles:Yo: Podíamos ver la ópera prima de Mariano Ozores.Ella: Las de tetas las ves con tu hijo.Yo: Que no, que esta no es de tetas.Ella: ¿Que dice el libro de cine?Yo: Que es una comedia ligera, insustancial, pero con algo de frescura.Ella: La pone a parir, no quiero verla.Yo: Lo mejor que había leído al respecto de Ozores es ""subproducto de inexplicable éxito comercial""Ella: Aceptamos barco con tal que sea cortita.En no menos de 40 minutos se había quedado roque (tres), pero con una sonrisa en la boca. Gloria al todopoderoso, hemos visto una película de Ozores juntos. Aleluya.La película trata sobre un tipo (Jose Luis Ozores) que trabaja en una gasolinera y que su novia quiere que se quede con el negocio del padre (una funeraria de nueva creación). Con la ayuda de un veterinario (Antonio Ozores), acuden a su primer encargo, la muerte de un rico del pueblo, muy querido. Cuando llegan a la casa, las cosas no parecen concordar del todo.Si no me dicen que es la primera película como director de Mariano Ozores pensaría que es una gran película, pero ese dato me explica por qué este hombre llegó a ser lo que fue. Y no he dicho yo esto, si no mi niña (la misma que es capaz de despellejar una película sin despeinarse). Es una comedia de estas de enredo, con un genial Jose Luís Ozores (si hubiera nacido en ese país que repite sus siglas, le veríamos como un genio entre los clásicos) muy bien secundado por su hermano y un gran Fernando Rey. Las situaciones son de comedia americana, incluso la ambientación, haciendo que muchos ratos pensara no estar viendo una película española. Me reí bastante, a pesar de ser un humor de hace 50 años, ahí es nada.Resumiendo, película sobre unos estafadores que quieren valerse de unos novatos enterradores para perpetrar una estafa. Ópera prima de Mariano Ozores, que nos sorprende con una comedia de enredo muy simpática y con momentos realmente hilarantes. Muy recomendable para ver con cariño.De imprescindible visión por cualquiera que le guste el cine clásico español.Besitos.P.D: Los datos del ministerio y el coño de la Bernarda aparecen en la wikipedia como sinónimos. ",buena
5,"Si por algo tendremos que recordar Serpientes en el avión en un futuro será por su trastienda más por que la película en si misma. Esfast food cinematográfico en estado puro: una pizza cuatro estaciones que comemos en un antro infecto, pero que devoramos con glotonería porque, aparte de que tener hambre, nos mueven pasiones más bajas, vicios no comentables. Todos tenemos, en el fondo, un regusto cuasimasoquista por ver cine basura y, en el trayecto, disfrutar de su patetismo, de su aceptada renuncia a la calidad. Serpientes en el avión es una película mala de solemnidad. Escuece cuando la vemos y escuece horas después cuando nos preguntamos qué oscuras razones nos mueven, en ocasiones, a traicionar nuestra fidelidad al cine bueno, al cine que dice cosas y las dice de forma agradable, con belleza.La trastienda a la que me refiero es su trampa, el punto de partida de su engañoso guión pues resulta, amable lector de esta página de cine, que nadie ha escrito el guión y ha sido escrito por todos. Esto es, New Line Cinema, padres del engendro, perpetraton la novedosa idea de rebuscar guionista en la Red, de ofrecer pedacitos del film para que el internauta, verdadero depositario de la maquinaria implacable de Hollywood, aporte su miguita de pan o su barra entera, según ganas, según ingenio.Fueron los blogs, y no la habilidad narrativa de un tipo encerrado en la buhardilla de su casa, los que gestaron el puzzle de la trama, aunque le faltan piezas y las que están se ofrecen manidas, oxidadas, comidas por una herrumbre letal. Si este es el camino por el que van a ir los tiros en el cine del futuro, yo vuelvo de cabeza al glorioso pasado, que tanto placer ha proporcionado a mis inquietudes. Regreso a los clásicos y a los que, no siéndolo, rezuman honestidad, ganas de facturar un producto decente que pueda entretener ( el cine es muchas cosas, pero sobre todo es entretenimiento). Serpientes en el avión será recordada por su trastienda ( insisto ) y porque nuestra Elsa Pataky, rubia bombón que Garci supo aprovechar en Ninette, aparece en tres sueltos del metraje en su primera incursión USA.La juventud pletórica de adrenalina que quiere verse arrojada a una montaña rusa de ofidios asesinos en un marco insólito ( !un avión ! ) verán satisfechas sus demandas. Los demás, los que acudan, jóvenes o talluditos con más de un dedo de frente y tres cuartos de cabeza pensante para no admitir que les engañen con tanto descaro, no irán a la sala: no dilapidarán los euros de sacrificio.Si le restamos el bizarro aparato de mercadotecnia que la secunda, Serpientes en el avión hubiese ingresado directamente en las estanterías de los videoclubs de barrio, junto a Jackie Chan, Steven Seagal y esa pléyade musculosa de actores de quinta categoría que engrosan sus cuentas corrientes con atropellados espectadores que no piden mucho a algo tan serio como es el cine. Ignoramos si la deglución consciente de una bazofia de este calado afectará de modo irreparable el paladar del adolescente que se la trague, sin patatas fritas ni medio litro de coca-cola light.Hasta hay una serpiente que se cuela bajo las faldas de una dama dormida que, entre sueño y sueño, cree ver atendidas sus fantasías clitoridianas. He aquí ( en esta metáfora de lo burdo ) el verdadero símbolo de esta cosa. No sé si perdonar a Samuel L. Jackson, que me encandiló en Pulp Fiction, que me encantó en Jackie Brown ( ay Tarantino, que estás en todas ), pero la mano se abre sola y los dólares van cayendo como maná del cielo de los ignorantes. Hasta Anaconda, otra serie B de videoclub de barrio, me entretuvo más. Será por Jennifer López. ",mala
6,"El ex Monthy Python Terry Gilliam ha sabido crearse una carrera con cierta fama, junto con John Cleese aunque éste en el campo de la interpretación, fuera de lo que es ese divertido grupo de cómicos. Películas como ?Los Héroes del Tiempo? y ?Brazil?, y en menor medida ?12 Monos? y ?El Rey Pescador?, son buena muestra del buen hacer de Gilliam, películas de distinta temática pero muy reconocibles en el estilo de un director que casi siempre ha hecho lo que le ha dado la gana, aunque para ello haya tenido que lidiar con una buena parte de la crítica, y también del público. Algo que ha tenido su máximo exponente con ?Tideland?, la cual está recibiendo algunas de las críticas más despiadadas que se recuerdan, y la verdad es que no me extraña en absoluto.El alucinante argumento de ?Tideland? da comienzo cuando la protagonista absoluta del relato, una niña llamada Jeliza-Rose huye con su padre, un cantante de rock acabado y heroinómano, después de que su madre muera víctima de una sobredosis de metadona. Se refugiarán en una casa perdida de la mano de Dios, en la que el padre se irá de ""vacaciones"" gracias a las dosis que le prepara tan detenidamente su hija, y ésta creará su propio mundo de fantasía, lleno de personajes raros y extravagantes.Mi compañera Beatriz, en su crítica del film, hablaba de la evidente semejanza de esta película con ?El Laberinto del Fauno? de Guillermo del Toro, que también iba por los mismos derroteros. Lo cierto es que una es una demostración de cómo hacer las cosas bien, y la otra de cómo hacerlas mal. Lo curioso del asunto es que en ?Tideland? se ve la mano de Gilliam al 100%, su estilo claro y reconocible de principio a fin, pero esta vez las cosas no tiene ni el más mínimo sentido, y Gilliam ha realizado un film con la misma intención que otros autores, reputados y odiados al mismo tiempo, tienen de vez en cuando: vivir del cuento. Casi me atrevería a decir que esto se acerca más a la tontería de David Lynch titulada ?Inland Empire?, con la cual se rió de medio mundo y parte del otro. Gilliam, al igual que Lynch, tiene un nombre, y sabe que con eso llega. Pero una cosa es patinar y ofrecer una película muy por debajo de las posibilidades de su director, como pueda ser ?El Secreto de los Hermanos Grimm?, y otra muy distinta, hacer lo que te venga en gana, sin pies ni cabeza y pretender que te defiendan sólo porque sí.Tal vez haya que aclarar que en el rodaje de ?El Secreto de los Hermanos Grimm? hubo que hacer un parón por el complicado rodaje que tuvo dicha película, y Gilliam ni corto ni perezoso se fue a rodar en tiempo récord ?Tideland?, asi que si esta película responde a una necesidad de relajarse del señor Gilliam por todo el estress acumulado en la película protagonizada por Matt Damon, pues vale, puede entenderse. Pero a nosotros, como público, nos toca decidir qué nos ha parecido la película, y viéndola queda muy claro que a Gilliam le ha dado igual el público, pasándose por el forro todos los mandamientos, o reglas, o como queráis llamarlas.Las cosas en ?Tideland? suceden porque sí y sin explicación alguna. El mareo que produce en el espectador no es porque Gilliam haya hecho gala de una puesta en escena confusa, no, por ahí no va el tema, sino temáticamente y argumentalmente. Para empezar, la huída del padre con su hija, después de que la madre de ésta muera, es totalmente incomprensible y nada creíble. A partir de ahí, todo el mundo que se crea en su cabeza la cría no responde a ninguna lógica, lo cual tendría su gracia si estuviera presentado de forma atractiva, pero la falta de interés y el aburrimiento son las tónicas generales de la película. Nos da absolutamente igual todo lo que vemos en la película. Nos da igual el porqué la niña se inventa todo lo que se inventa, y no parece que sea porque sus padres sean unos drogadictos de narices, porque a ella se le ve muy contenta con ellos, ni tan siquiera porque su madre no le deja coger sus chocolatinas, algo realmente absurdo. Luego, en el mundo imaginario, por llamarlo así, el desinterés es total, aunque en este caso tenemos que aguantar a algún que otro personaje de lo más insoportable. Y no voy a hablar de las asquerosas alusiones a la pedofilia o la necrofilia, por poner sólo dos ejemplos suaves. Al film no le llega con ser absurdo, aburrido y malo, además tiene que ser asqueroso.Probablemente lo único salvable de todo este despropósito es su joven protagonista, la niña Jodelle Ferland, quien se entrega con pasión a su personaje, y a pesar de todas sus paranoias, logra no resultar cargante, incluso cuando habla con sus insoportables cabezas de muñeca. Todos los demás actores parecen payasos histriónicos logrando sacar de quicio al espectador, sobre todo un desfasadísimo Jeff Bridges, con un personaje bastante mal dibujado. También salvaría la banda sonora, obra de los hermanos Mychael y Jeff Danna.Por lo demás una película muy mala, de lo peor de Gilliam, y que un vez más habría que incluirla en el lote de films que nos llegan con sumo retraso (es del 2005) y se ha estrenado en contadísimos lugares. A estas alturas ya estamos acostumbrados, y en este caso, mejor que mejor. ",mala
7,"Existen cierto tipo de películas dirigidas, en su mayoría, a adolescentes a las que lo único que les puedes pedir es que te hagan pasar un rato divertido y que, desde luego, no tienen intención de realizar una historia de calidad. Pero, claro, hay límites para todo incluso cuando no pretendas hacer una buena película.Basado en una saga de videojuegos, DOA no introduce ningún ápice de personalidad sobre este género que cuenta con más de una película y que podría resumir en una frase muy simple: plastificadas tías buenas que meten unas palizas de escándalo.Anteriormente ya se nos había hecho sufrir con el mismo género pero protagonizado por hombres que amaban a los anabolizantes sobre todas las cosas (creo que no es necesario indicar ejemplos porque en nuestra mente seguro que nos asoma más de un título). Pues bien, es necesario complementar esta base con algunos elementos si quieres que te quede algo curioso: un humor ácido, buenas escenas de acción, un final elaborado? En fin, algún toque para que una historia simplona pueda hacerte pasar un rato ameno, como ocurrió con la versión cinematográfica de la mítica serie ""Los ángeles de Charlie"".Sin embargo, DOA no tiene nada de esto, por lo que, resulta insufriblemente mala y aburrida. Pagar por verla es un auténtico robo. Mejor esperate a verla en televisión (este tipo de películas abundan con mucha frecuencia en algunas cadenas nacionales).Y que conste que no he hablado de lo machista que puede llegar a ser este tipo de iconos (el súmmum en este sentido sería la intragable Lara Croft protagonizada en el cine por Angelina Jolie, conocida, además, por ser uno de los mejores productos de marketing no solo de Hollywood sino también de organizaciones de gente superbuena y superpija también denominadas ONG?s ). ",mala
8,"Qué difícil es encontrar una película cuya ambientación y clima sea intachable. Igual de difícil que empastarla con un buen argumento. Brian De Palma, que tan bien lo hizo en ""Los Intocables de Elliot Ness"" y ""Atrapado por su pasado"" ha caído en ""La Dalia Negra"" en lo mismo que haría un novato: cuidar en demasía el envoltorio y descuidar de forma soberana lo de dentro.El cine negro vuelve de la mano de De Palma, y cómo lo hace. 100% de efectividad en recrear toda esa esfera que más nos recuerda a los grandes clásicos como ""Cayo Largo"": los protagonistas se encienden un cigarro detrás de otro, los tíos son muy duros, las chicas son muy calentorras aunque recatadas, y lo mejor de todo, Hartnett con sombrero en la cama tras hacer el amor. Con una inmejorable práctica en ""Los Intocables"", De Palma borda un Master en cómo convertir Los Angeles en una turbia ciudad del 47 con todos los elementos del cine negro en su sitio correcto, pero lo repito, que pena que el guión y la historia no quede a la altura.Conversaciones absurdas y a veces estúpidas rompen la magia por completo. A veces no sabía si dejar de oir a los protagonistas para esperar que en la escena siguiente remontaríamos la cosa. No es así, porque no remonta sino que todo se desboca hasta llegar al final. El argumento se desarrolla en muchas ocasiones con una incoherencia evidente, y terminas por no integrarte mucho en el ir y venir del protagonista en la busqueda del culpable. Quizás un segundo visionado me haría comprender el film de otra forma, pero no sé si me veo con fuerzas de soportar a Hartnett una vez más.A pesar de haber puesto mis esperanzas en que De Palma lo espabilaría por completo, la actuación del guapito de Hollywood termina por confirmarme que este actor es tan lineal como inexpresivo, y le echo bastante culpa de la falta de conexión con la historia. Podríamos imaginarnos a un buen puñado de actores que hubieran sacado la papeleta de forma más airosa, por eso no entiendo muy bien que llevó al director a hacerse de los servicios de un actor que no ha hecho un buen trabajo en su vida. Si quería rodearse de gente jóven, lo podría haber hecho sin que eso supusiera incompetencia.De las chicas no tengo ningún pero, aunque quizás fui equivocado pensando que Johansson sería más cruel. No puedo decir que sea la interpretación de su vida, que seguro está por llegar, pero para nada me ha decepcionado. Correcta sin más, aunque si he de compararla con el papel de Hilary Swank, sale perdiendo. La multi-oscarizada es lo mejor de la película y creí que nunca vería un ápice de sensualidad en esta chica, hasta que su papel de auténtica loba me ha tapado la boca. Impresionante cómo le quedan las perlas en la cama.Los secundarios más notables son Aaron Eckhart, que lo hace mil veces mejor que el protagonista, aunque no era difícil, y Fiona Shaw, simplemente maravillosa.Dos escenas para recordar: K.D. Lang cantando en el club donde un coro de bailarinas viciosas te dejan sin respiración, y la escena donde Hartnett conoce a los padres de Swank y en la que la cámara se mueve al antojo de su director, que me hace recordar lo mejor que tenía ""Ojos de Serpiente"".La autoridades sanitarias descubrirán que De Palma se ha pasado por el forro los consejos de evitar escenas con demasiado fumeteo. En prácticamente todos los fotogramas hay un cigarro, el otro gran protagonista mudo del film. Qué mal rato para quienes necesitabamos un pitillo en aras de soportar a Hartnett.Un gran cineasta con dos cabos sueltos: su actor principal y su argumento. La próxima vez será, Brian.  ",mala
9,"La negrura tremebunda de la España del sabañón y del café con hambre que Azcona y Ferreri plasman en El pisito parece a la luz del ahora un retrato costumbrista, pintoresco, un abigarrado novelón de la vida de nuestros abuelos que no tiene vigencia en estos nuevos tiempos, pero la actualidad nos desmiente como quiere y los rotativos de las agencias de información vomitan titualres que podrían atribuirse, sin esfuerzo alguno, a la España de aquella posguerra.Lo que hace Azcona como nadie ha hecho en el cine español es escribir con la mala leche en la punta del bolígrafo o las teclas de las pesadas Underwood de entonces. Azcona se aleja del paisajismo tópico de exaltación de lo militar y de lo patriótico en el que estaba el cine aburrido y ahogado para hacer unos argumentos destornillantes, líricos y hermosos en su descarnada visión de la pobreza del hombre y del consentimiento popular de unas estrecheces morales y económicas que ocasionaban lo que Valle-Inclán, unos años antes, bautizó como Esperpento.La disidencia de El pisitio viene por aquí: por abrir en canal ( con saña, con finísima saña en ocasiones ) la contemplación monótona que el español de a pie hacía de su ombligo nacional. Todo se desmenuza con la prosa clásica del sainete y entre chiste y chascarrillo cuela Azcona un puyazo sangriento al censor, esto es, a la conciencia de un país que salía como podía de una Guerra y que se dejaba embaucar por un tablao flamenco nutrido y alegre, manifestación antológica de nuestra cultura patria y simpar icono de cuanto de nosotros se pensaba allende los Pirineos. Berlanga, Bardem, Neville ( a su manera ) y Ferreri conformaron una cinematografía adulta, exenta de clichés y totalmente exportable a la manera del neorrealismo italiano que hacía tres cuartos de lo mismo pero con una pléyade más nutrida de disidentes del Régimen, de artistas preocupados por la política y que veían en el cine ( vamos a decir en el arte ) un vehículo idóneo para desahogarse un poquito y, de camino, dar que pensar ( que decía mi abuela ) a algún ciudadano cómplice en la historia.El pisito narra una historia real de un hombre que consintió casarse con la vieja que le realquilaba el cuarto para poder heredar el piso y así cumplir el sueño dorado ( institucional ) de casarse con su novia de toda la vida. Al modo de 13, Rue del Percebe, cómic ejemplar en todos los aspectos, Ferreri abre su cámara a muchos personajes: no se deja llevar por las pericias dramáticas de Rodolfo, el novio-esposo-viudo que interpreta formidablemente un nunca bien ponderado José Luís López Vazquez. Lo que hace Ferreri es darnos una información adicional enorme en cada plano: no ocurre una única cosa sino que son varias y todas tienen lecturas que afectan a la principal, por decirlo de alguna forma. Ferreri huye de los planos cortos y obra prodigios cuando, mudamente casi, planta la cámara en el centro de la acción narrativa y deja que los personajes vayan atropellándose, ocupando el espacio, creando una representación coral riquísima que luego ha sido triunfalmente copiada por otros directores para evidenciar, como Ferreri, la espesa imbricación de varias tramas que se yuxtaponen, sin oponerse, para crear la trama unívoca que creemos estar viendo.Pienso ahora en Woody Allen, pero eso es irme muy por las ramas.Azcona, que luego hizo ( ahí va ) El cochecito, El verdugo, Plácido, La prima Angélica, La escopeta nacional, La niña de tus ojos, Belle Epoque, La lengua de las mariposas y Ay, Carmela, que recuerde, alguna habré olvidado, es el maestro del distanciamiento: sus personajes pueblan las líneas de sus obras y no hay signo que pueda entenderse como marca de autor: Azcona se limita a plantar su universo de clase media, sus escaleras de vecinos, y acelerar, como si un reloj de muñeca se tratase, los mecanismos antiquísimos de la comedia, del humor negrísimo, que es el verdadero, quizá el más serio de todos.La idiosincracia del pueblo español de entonces ( ya visto con una lejanía ) no se queda en la plasmación de unos referentes sociales: Ferreri y Azcona van más lejos y hurgan en donde más duele a la clase biempensante y detentadora del Poder. Hacen hilaridad de la muerte, del matrimonio. Evidencian con genio que vivir en España entre el año 40 y el 70, frenemos ahí la caída, era una heroicidad que no paliaban las divas de la copla y las historias rurales de botijo y de novio que habla con la novia a través de una reja. La pobreza anula la ética. La necesidad de una vivienda, nunca antes tan manifiesta en el cine, propicia que la moralidad se alíe con el interés. De resultas de este maridaje nace el ingenio, la trampa, la estampa graciosa de la fealdad. ",buena
